Sector,SubIndustry1,SubIndustry2,SubIndustry3,SubIndustry4,SubIndustry5,SubIndustry6,SubIndustry7,SubIndustry8,SubIndustry9,Metric,Segment1,Segment2,Segment3,Segment4,Report Name,Time Unit,From,To,Data Unit,Unit Description,Written Explanation,Region,Report Description,Report Link,Report Last Published,Price,Report Update Frequency,Publisher,Publisher Description,Report Quality,Completeness,Cataloger Notes,Catalog Group Source,Page
Technology,Cybersecurity,,,,,,,,,Benchmark Spend,Region,,,,"Department for Digital, Culture, Media and Sport UK Cyber Security Sectoral Analysis and Deep-Dive Review",year,1/1/17,12/31/17,Dollars ($),Median Investment in Cybersecurity,2017. Dataset contains the median investment in cybersecurity segmented by business size,UK,"Report contains a comprehensive analysis on UK cybersecurity companies, 2018",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/751406/UK_Cyber_Sector_Report_-__June_2018.pdf,6/30/18,0,irregular,RSM International,"RSM is a global network of audit, tax and consulting experts with offices all over the world",2,2,,,
Technology,Cybersecurity,,,,,,,,,Benchmark Spend,Security Layer,,,,Budgeted or earmarked spending according to six company IT security layers in the United States from 2013 to 2015,year,1/1/13,9/30/15,Dollars ($),% of IT Security Spend,2013-2015. Dataset contains benchmarked % distribution of IT security spend by security layer,United States,"Single chart of budgeted or earmarked spending according to six company IT security layers in the United States, 2013-2015",https://www.statista.com/statistics/293270/cyber-crime-company-it-security-budget/,10/31/15,0,irregular,Statista,Statista is an online statistics portal that aggregates and repackages market research data,2,3,,,
Technology,Cybersecurity,,,,,,,,,Employment,Occupation,Region,,,Cyberstates 2019 The definitive guide to the U.S. tech industry and tech workforce,year,1/1/10,12/31/18,# of Employees,# of Employees US Only,2010-2018. Report contains the US number of employees per tech sector segmented by occupation and their wages on page 9,United States,"Report contains data on the leading tech occupation categories in the United States, 2018-2019",https://www.cyberstates.org/pdf/CompTIA_Cyberstates_2019.pdf,3/22/19,0,annual,CompTIA,The Computing Technology Industry Association (CompTIA) is a leading IT trade association,2,2,,,9
Technology,Cybersecurity,,,,,,,,,Employment,Region,,,,Cyber Security Specialists in the UK,year,8/1/15,6/30/16,# of Employees,UK Only Employees,"2015-2016. Dataset contains # of employees in the digital sector in the UK, on page 3.",UK Employment,"This report contains employment data for the UK cybersecurity market, including # employees and demand of the sector.",https://www.tpdegrees.com/globalassets/pdfs/research-2017/factsheet_cybersecurityspecialists_feb17.pdf,2/1/17,0,irregular,Tech Partnership Degrees,Tech Partnership Degrees (also known as TP Degrees) is a not-for-profit organisation which unites employers and universities to improve the flow of talent into the digital workforce,2,2,,,3
Technology,Cybersecurity,,,,,,,,,Employment,Region,,,,IT Skills Required for Business Innovation,year,6/30/16,6/30/17,# of Employees,US Only # of Employees,2015-2016 Dataset contains supply & demand for cybersecurity jobs.,"USA, United States",This report contains employment data by region.,https://synoptek.com/wp-content/uploads/Research-Report-IT-Skills-Required-for-Business-Innovation.pdf,6/30/17,0,irregular,Synoptek,Synoprek is a provider of solutions and managed services for the IT industry,2,2,,,
Technology,Cybersecurity,,,,,,,,,Employment,Region,Occupation,,,Cyberstates 2019 The definitive guide to the U.S. tech industry and tech workforce,year,1/1/10,12/31/18,# of Employees,# of Employees US Only,2010-2018. Report contains the US number of employees per tech sector segmented by occupation and their wages on page 9,United States,"Report contains data on the leading tech occupation categories in the United States, 2018-2019",https://www.cyberstates.org/pdf/CompTIA_Cyberstates_2019.pdf,3/22/19,0,annual,CompTIA,The Computing Technology Industry Association (CompTIA) is a leading IT trade association,2,2,,,9
Technology,Cybersecurity,,,,,,,,,Employment,Region,Occupation,State,,Cyberstates 2019 The definitive guide to the U.S. tech industry and tech workforce,year,1/1/18,12/31/18,# of Employees,# of Employees US Only,2010-2018. Report contains the US number of employees per tech sector segmented by occupation and state and their wages,United States,"Report contains data on the leading tech occupation categories in the United States, 2018-2019",https://www.cyberstates.org/pdf/CompTIA_Cyberstates_2019.pdf,3/22/19,0,annual,CompTIA,The Computing Technology Industry Association (CompTIA) is a leading IT trade association,2,2,,,
Technology,Cybersecurity,,,,,,,,,Employment,Region,Role,,,Cyber Security Specialists in the UK,year,1/1/11,6/30/16,# of Employees,UK Only Employees,"2011-2016. Dataset contains demand for cybersecurity specialists in the UK by role, from 2011-2016, on pages 6-8.",UK Employment,"This report contains employment data for the UK cybersecurity market, including # employees and demand of the sector.",https://www.tpdegrees.com/globalassets/pdfs/research-2017/factsheet_cybersecurityspecialists_feb17.pdf,2/1/17,0,irregular,Tech Partnership Degrees,Tech Partnership Degrees (also known as TP Degrees) is a not-for-profit organisation which unites employers and universities to improve the flow of talent into the digital workforce,2,2,,,8-Jun
Technology,Cybersecurity,,,,,,,,,Employment,Region,Skills,,,IT Skills Required for Business Innovation,year,1/1/17,6/30/17,# of Skills,US Only # of Skills Needed,2017. Dataset contains skills needed for cybersecurity jobs.,"USA, United States",This report contains employment data by region.,https://synoptek.com/wp-content/uploads/Research-Report-IT-Skills-Required-for-Business-Innovation.pdf,6/30/17,0,irregular,Synoptek,Synoprek is a provider of solutions and managed services for the IT industry,2,2,,,
Technology,Cybersecurity,,,,,,,,,Employment,Region,State,,,Cybersecurity Skills Gap Analysis,year,1/1/10,6/30/16,# of Employees,USA Only # Employees,2010-2016. Dataset contains total demand of USA cybersecurity employment in Michigan on page 18.,United States,"This report contains employment data for the US cybersecurity market, including job posting, demand and employee #.",https://winintelligence.org/wp-content/uploads/2017/07/FINAL-Cybersecurity-Skills-Gap-2017-Web-1.pdf,7/1/17,0,annual,Workforce Intelligence Network,Workforce Intelligence Network is a provider of workforce data across industries in the southeast Michigan region,2,2,,,18
Technology,Cybersecurity,,,,,,,,,Employment,Region,State,,,Cyberstates 2019 The definitive guide to the U.S. tech industry and tech workforce,year,1/1/18,12/31/18,# of Employees,# of Employees US Only,2019. Report contains the number of employees per tech sector segmented by state and their wages.,United States,"Report contains data on the leading tech occupation categories in the United States, 2018-2019",https://www.cyberstates.org/pdf/CompTIA_Cyberstates_2019.pdf,3/22/19,0,annual,CompTIA,The Computing Technology Industry Association (CompTIA) is a leading IT trade association,2,2,,,
Technology,Cybersecurity,,,,,,,,,Employment,State,Region,,,Cyberstates 2019 The definitive guide to the U.S. tech industry and tech workforce,year,1/1/18,12/31/18,# of Employees,# of Employees US Only,2019. Report contains the number of employees per tech sector segmented by state and their wages.,United States,"Report contains data on the leading tech occupation categories in the United States, 2018-2019",https://www.cyberstates.org/pdf/CompTIA_Cyberstates_2019.pdf,3/22/19,0,annual,CompTIA,The Computing Technology Industry Association (CompTIA) is a leading IT trade association,2,2,,,
Technology,Cybersecurity,,,,,,,,,Employment Demand,Region,,,,Cyber Security Specialists in the UK,year,8/1/15,6/30/16,# of Employees,UK Only Employees,"2015-2016. Dataset contains demand for cybersecurity specialists in the UK by region, from Q32015-Q22016, on page 5.",UK Employment,"This report contains employment data for the UK cybersecurity market, including # employees and demand of the sector.",https://www.tpdegrees.com/globalassets/pdfs/research-2017/factsheet_cybersecurityspecialists_feb17.pdf,2/1/17,0,irregular,Tech Partnership Degrees,Tech Partnership Degrees (also known as TP Degrees) is a not-for-profit organisation which unites employers and universities to improve the flow of talent into the digital workforce,2,2,,,5
Technology,Cybersecurity,,,,,,,,,Investment,,,,,TAKING CYBERSPHERE TO THE NEXT LEVEL,year,1/2/14,12/31/18,# of Investments,Investments Israel Only,2014-2018. Dataset contains Cybersecurity investments Israel Only.,Israel,Report contains cybersecurity company statistics related to firm concentration and investment data 2019,http://www.hazliseconomist.com/uploads/speeches/2019/Cyber/15%20Itai%20Green_TheEconomist_Presentation_Athens%2018032019%20-%20CYBER.pdf#page=3,3/1/19,0,irregular,Innovate Israel,"Innovation Israel is a community for Israeli startups, entrepreneurs, investors, venture capitalists, angels, developers, researchers and recruiters.",1,1,,,5
Technology,Cybersecurity,,,,,,,,,Investment,,,,,"2019 Aerospace, Defense, Government & Security (ADGS) Mergers & Acquisitions",quarter,1/2/17,12/31/18,Dollars ($),Investments,2017-2018. Dataset contains Cybersecurity investments value on page 38.,Global,Report contains comprehensive overview of cybersecurity market size and M&A activity 2017-2023,http://capstoneheadwaters.com/sites/default/files/FINAL_Capstone%20Headwaters%20ADGS%20M%26A%20Update%202019.pdf,4/18/19,0,annual,Capstone Headwaters,Capstone Headwaters is a privately owned middle market investment banking and advisory firm,2,3,,,38
Technology,Cybersecurity,,,,,,,,,Investment,,,,,Cybersecurity Spotlight,year,1/1/12,12/31/17,Dollars ($),Startup Financing,2012-2017. Report contains datasets about funding / fundraising throughout,United States,"Report shows Global Cybersecurity Annual Financing Transactions, magic quadrants, and market sizing, 2018",http://www.newcenturycap.com/wp-content/uploads/2018/05/CEO-Cybersecurity-Spotlight-May-2018.pdf,5/1/18,0,month,New Century Capital Partners,New Century Capital Partners (NCCP) is a leading independent investment bank,2,2,,,
Technology,Cybersecurity,,,,,,,,,Investment,,,,,"Department for Digital, Culture, Media and Sport UK Cyber Security Sectoral Analysis and Deep-Dive Review",year,1/1/07,12/31/17,Dollars ($),Total Fundraising,2018. Report contains overview of cybersecurity fundraising transactions by amount and company size,UK,"Report contains a comprehensive analysis on UK cybersecurity companies, 2018",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/751406/UK_Cyber_Sector_Report_-__June_2018.pdf,6/30/18,0,irregular,RSM International,"RSM is a global network of audit, tax and consulting experts with offices all over the world",2,2,,,
Technology,Cybersecurity,,,,,,,,,Investment,,,,,TAKING CYBERSPHERE TO THE NEXT LEVEL,year,1/2/14,12/31/18,Dollars ($),Investments Israel Only,2014-2018. Dataset contains Cybersecurity investments Israel Only.,Israel,Report contains cybersecurity company statistics related to firm concentration and investment data 2019,http://www.hazliseconomist.com/uploads/speeches/2019/Cyber/15%20Itai%20Green_TheEconomist_Presentation_Athens%2018032019%20-%20CYBER.pdf#page=3,3/1/19,0,irregular,Innovate Israel,"Innovation Israel is a community for Israeli startups, entrepreneurs, investors, venture capitalists, angels, developers, researchers and recruiters.",1,1,,,5
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,Capstone Headwaters Cybersecurity Q2 2018,quarter,1/1/17,6/30/18,# Of Transactions,Transaction Volume,2017-2018. Dataset contains quarterly M & A transactions in the cybersecurity industry on page 3,Global,"Report contains cybersecurity industry statistics, 2017-2023",http://capstoneheadwaters.com/sites/default/files/Capstone%20Headwaters%20Cybersecurity%20M%26A%20Coverage%20Report_Q2%202018.pdf,9/30/18,0,quarter,Capstone Headwaters,Capstone Headwaters is a privately owned middle market investment banking and advisory firm,2,3,,,3
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,Capstone Headwaters Cybersecurity Q3 2018,quarter,1/1/17,9/30/18,# Of Transactions,Transaction Volume,2017-2018. Dataset contains cybersecurity quarterly M & A transaction data on page 2,Global,"This is a quarterly report covering cybersecurity M&A transactions and other industry statistics, Q3 2018",http://capstoneheadwaters.com/sites/default/files/Capstone%20Headwaters%20Cybersecurity%20Coverage%20Report_Q3%202018_1.pdf,11/30/18,0,quarter,Capstone Headwaters,Capstone Headwaters is a privately owned middle market investment banking and advisory firm,2,3,,,2
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,Cybersecurity - m&a Sector report,year,1/1/16,12/31/17,# Of Transactions,Transactions Volume,2016-2017. Dataset contains # of transactions. on page 8,Global,"Report contains data on M&A in the cybersecurity industry and data breach trends & top breach types, 2018",https://www.imap.com/media/uploads/publications/cybersecurity_report_18april18_fina_few_amends_.pdf,3/1/18,0,annual,IMAP,International M&A Partners (IMAP) advises primarily mid-sized companies and their shareholders on the sale and acquisition of companies on a global scale,2,3,,,8
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,Cybersecurity Almanac 2019,year,1/1/18,12/31/18,# Of Transactions,Transaction Volume,"2018. Report contains public market valuations, IPO activity, M & A activity and financing activity",Global,"Report contains a comprehensive list of M&A transactions, financing data segmented by type of cybersecurity and lists of noteworthy cybersecurity events, 2019",https://momentumcyber.com/docs/Yearly/2019_Cybersecurity_Almanac_Public_Edition.pdf,2/3/19,0,annual,Momentum Cyber,Momentum Cyber is an investment banking and advisory firm for the cybersecurity industry.,3,3,,,
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,Cybersecurity Initiation - The cloud has no walls,year,1/1/13,6/30/17,# Of Transactions,# of Transactions,2013-2017. Dataset contains # of transactions and transaction value on page 40,Global,Report contains an extensive overview of the cyber security industry,https://research-doc.credit-suisse.com/docView?language=ENG&format=PDF&sourceid=em&document_id=1079780681&serialid=G6OoCtYpIZ7vHJ1E9iHlkWRn4b4YIBJtKN5CTM9UtC0%3D,9/5/17,0,annual,Credit Suisse,Credit Suisse Group AG is a Swiss multinational investment bank and financial services company,3,3,,,40
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,Cybersecurity Market by Solution - Global Forecast to 2023,year,1/1/17,12/31/18,# Of Transactions,Transaction Volume,2017-2018. Dataset shows M & A.,"North America, Europe, Asia Pacific, APAC, Middle East and Africa, MEA, EMEA, Latin America, Global","Report contains extensive data on the cybersecurity industry with segmentations by region, industry, business size and cybersecurity segment, 2016-2023",https://www.marketsandmarkets.com/Market-Reports/cyber-security-market-505.html,9/1/18,7150,irregular,Markets and Markets,Markets and Markets is a provider of statistics across a broad set of industries,1,2,,,
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,Cybersecurity Spotlight,quarter,1/1/16,3/31/18,# Of Transactions,Transaction Volume,2016-Q12018. Dataset contains mergers and acquisitions for the cybersecurity market on page 10 and 27.,Global,"Report shows Global Cybersecurity Annual Financing Transactions, magic quadrants, and market sizing, 2018",http://www.newcenturycap.com/wp-content/uploads/2018/05/CEO-Cybersecurity-Spotlight-May-2018.pdf,5/1/18,0,month,New Century Capital Partners,New Century Capital Partners (NCCP) is a leading independent investment bank,2,3,,,"10, 27"
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,M&A market report 2H 2018-Cybersecurity,year,1/1/18,12/31/18,# Of Transactions,M&A Transactions,"2018. This report contains global cybersecurity M & A summaries which includes acquisitions segmented by type of cybersecurity, 2018",Global,"This report contains global cybersecurity M&A summaries which includes acquisitions segmented by type of cybersecurity, 2018",https://hampletonpartners.com/report/cybersecurity/#,12/10/18,0,irregular,Hampleton Partners,Hampleton provides Merger & Acquisition and corporate finance advisory services to owners of technology companies,2,3,,,
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,"Mergers & Acquisitions, Private Placement Advisory, and Transaction Consulting",quarter,1/1/15,6/30/17,# Of Transactions,Transaction Volume,2015-2017. Dataset contains summary of mergers and acquisitions by quarter on pages 13-16.,Global,This report contains mergers and acquisitions for the cybersecurity market (2017).,http://www.centaurpartners.com/pdfs/CP_Security_Market_Overview.pdf,6/30/17,0,quarter,Centaur Partners,Centaur Partners is a provider of merger & acquisition advisory and management consulting services to high technology companies,2,3,,,13-16
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,THE TECH REPORT Q1 2018 MARKET REVIEW,quarter,1/2/11,3/31/18,# Of Transactions,M&A Transaction Volume,2011-2018. Dataset contains Cybersecurity m&a transaction values on page 53-55.,Global,Report contains cybersecurity investment-related data such as company valuation and M&A transactions 2011-2018,http://resultsig.com/wp-content/uploads/2018/04/The-Tech-Report-Q1-2018-Market-Review.pdf#page=53,4/13/18,0,irregular,Results International,"Results International international advisor on M&A and fundraising to the global marketing, technology and healthcare sectors",3,2,,,53-55
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,Viant Capital Cyber Security Industry Trends,year,1/1/17,9/30/18,# Of Transactions,Transaction Volume,2019. Report is an equity research report from the Viant Group that gives an overview of the cybersecurity industry,Global,"Report is an equity research report from the Viant Group that gives an overview of the cybersecurity industry,  2018",https://www.viantgroup.com/wp-content/uploads/2018/12/CyberSecurityReport_Q3_2018.pdf,10/31/18,0,irregular,Viant Capital,Viant Capital is a provider of investment banking and financial advisory services,2,3,,,
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,Capstone Headwaters Cybersecurity Q2 2018,quarter,1/1/17,6/30/18,Dollars ($),Transaction Value ($),2017-2018. Dataset contains quarterly M & A transactions in the cybersecurity industry on page 3,Global,"Report contains cybersecurity industry statistics, 2017-2023",http://capstoneheadwaters.com/sites/default/files/Capstone%20Headwaters%20Cybersecurity%20M%26A%20Coverage%20Report_Q2%202018.pdf,9/30/18,0,quarter,Capstone Headwaters,Capstone Headwaters is a privately owned middle market investment banking and advisory firm,2,3,,,3
Technology,Cybersecurity,,,,,,,,,M&A Transactions,,,,,"Palantir: Redefining Analytics, Augmenting Intelligence, and Unlocking Secrets",year,1/1/15,3/31/17,M&A Transactions Volume,M&A Transactions,2015-2017. Dataset contains IT Security M&A transactions on page 43.,Global,"Report contains an in-depth analysis of Palantir's business model, revenue potential, and operational risks, 2017","https://www.bobinsun.cn/assets/pdf/Palantir-Redefining-Analytics,%20Augmenting-Intelligence%20&%20Unlocking-Secrets.pdf",10/26/17,0,irregular,SharesPost,SharesPost is a company that runs a marketplace which makes it easy to research private growth companies and trade both their traditional and digital securities,2,3,,,43
Technology,Cybersecurity,,,,,,,,,Sales,,,,,"Cyber Security Maautomags Forecast, 2018 - 2025",year,1/1/18,12/31/25,Dollars ($),Revenue,2018-2025. Dataset contains revenue for the global Cybersecurity market.,Global,"This report contains forecasts for the global cyber security market, by region, solution and industry, 2018-2025.",https://www.alliedmarketresearch.com/cyber-security-market,3/1/19,4099,irregular,Allied Market Research,Allied Market Research is a provider of statistics across a broad range of industries,1,3,,,
Technology,Cybersecurity,,,,,,,,,Sales,,,,,Cyber Security Sector Competitiveness Plan,year,1/1/12,12/31/26,Dollars ($),Spend,2012-2026. Dataset contains global cybersecurity spend segmented by company internal (FTE) spend and external vendor spend on page 6,Global,Report contains various global and Australian cyber security statistics,https://www.austcyber.com/file-download/download/public/327,11/27/18,0,annual,Australian Cyber Security Growth Network,Australian Cyber Security Growth Network is a non-profit government and grant funded organization that promotes the cyber security industry and education in Australia,2,3,,,6
Technology,Cybersecurity,,,,,,,,,Sales,,,,,Cybersecurity Initiation - The cloud has no walls,year,1/31/10,12/31/20,Dollars ($),Revenue,"2010,2016,2020. Dataset contains IT Security Vendor revenue by cybersecurity segment on page 21",Global,Report contains an extensive overview of the cyber security industry,https://research-doc.credit-suisse.com/docView?language=ENG&format=PDF&sourceid=em&document_id=1079780681&serialid=G6OoCtYpIZ7vHJ1E9iHlkWRn4b4YIBJtKN5CTM9UtC0%3D,9/5/17,0,annual,Credit Suisse,Credit Suisse Group AG is a Swiss multinational investment bank and financial services company,3,3,,,21
Technology,Cybersecurity,,,,,,,,,Sales,,,,,Cybersecurity market grows 9% in 2018 to reach US$37 billion,year,1/1/18,12/31/18,Dollars ($),Revenue,2018. Dataset contains worldwide Cybersecurity market revenue.,Global,"Report contains Cybersecurity market revenue, 2018",https://www.canalys.com/static/press_release/2019/Canalys-PR-cybersecurity-080419.pdf,4/8/19,0,irregular,Canalys,Canalys is a global technology market analyst firm,2,3,,,
Technology,Cybersecurity,,,,,,,,,Sales,,,,,"Cybersecurity Primer - Moderation, But Still Growth for Years to Come",year,1/1/14,12/31/19,Dollars ($),Revenue,"2014-2019. Dataset contains IDC and Gartner estimates of IT Security market size on page 25,27",Global,"This is a comprehensive cybersecurity overview that compares and aggregates IDC and Gartner report figures, 2014-2019",http://info.bayshorenetworks.com/hubfs/assets/press-releases/Cybersecurity-Primer-Moderation-But-Still-Growth-for-Years-to-Come_2017-01-18.pdf,1/28/17,0,irregular,Jefferies,Jefferies is a leading full service investment bank,3,3,,,"25, 27"
Technology,Cybersecurity,,,,,,,,,Sales,,,,,Digital Market Overview: Brazil,year,1/1/17,12/31/22,Dollars ($),Revenue for Brazil only,2017-2022. Dataset contains cybersecurity revenue on page 5,Brazil,"Report contains digital market overview and forecast across the Technology Sector in Brazil, 2017-2022",https://ww3.frost.com/files/5515/2878/9339/Digital_Market_Overview_FCO_Brazil_25May18.pdf,5/25/18,0,irregular,Frost & Sullivan,Frost and Sullivan is a global research and consulting organization,2,1,,,5
Technology,Cybersecurity,,,,,,,,,Sales,,,,,European Small Business Finance Outlook,year,1/2/16,12/31/18,Dollars ($),Spending,2016-2018. Dataset contains Cybersecurity spending on page 42-43.,Global,Report contains cybersecurity spending and investments statistics data,https://www.eif.org/news_centre/publications/eif-wp-50.pdf,6/29/18,0,irregular,European Investment Fund,The European Investment Fund helps small and medium enterprises gain access to financing,3,3,,,42-43
Technology,Cybersecurity,,,,,,,,,Sales,,,,,Grow Revenue with Cloud-Based Security Tailored for Managed Security Service Providers,year,10/1/18,12/31/19,Dollars ($),Revenue,"4Q2018-4Q2019. Dataset contains worldwide Cybersecurity market revenue share forecast, on page 28.",Global,"Report contains worldwide Managed Security Service market revenue., 2018-2023",https://www.cisco.com/c/dam/m/en_us/network-intelligence/service-provider/digital-transformation/knowledge-network-webinars/pdfs/0514-security-ckn.pdf,5/14/19,0,irregular,Cisco,"Cisco is a company that develops, manufactures and sells networking hardware, telecommunications equipment and other high-technology services and products.",2,3,,,28
